"asset_id",ts,lat,lon
351709092560607,1744459061,417895820,"-731422020"
351709092560607,1744459226,417895350,"-731421310"
351709092560607,1744459253,417895420,"-731421720"
351709092560607,1744459547,417894790,"-731421480"
351709092560607,1744459577,417894990,"-731419950"
351709092560607,1744459719,417894200,"-731421140"
351709092560607,1744459746,417894960,"-731421370"
351709092560607,1744459949,417895700,"-731421300"
351709092560607,1744459978,417896209,"-731421470"
351709092560607,1744460227,417896200,"-731420739"
351709092560607,1744460254,417895390,"-731420900"
351709092560607,1744460568,417895210,"-731421160"
351709092560607,1744460596,417895190,"-731420550"
351709092560607,1744460977,417894520,"-731420930"
351709092560607,1744461003,417894780,"-731420940"
351709092560607,1744461385,417893830,"-731420280"
351709092560607,1744461414,417895270,"-731420830"
351709092560607,1744461737,417894260,"-731421020"
351709092560607,1744462081,417895309,"-731422259"
351709092560607,1744462116,417895449,"-731421860"
351709092560607,1744462440,417894850,"-731421840"
351709092560607,1744462465,417895520,"-731421079"
351709092560607,1744462785,417893890,"-731421189"
351709092560607,1744462812,417893550,"-731421330"
351709092560607,1744463195,417895020,"-731420940"
351709092560607,1744463220,417895350,"-731420980"
351709092560607,1744463582,417894990,"-731421180"
351709092560607,1744463600,417894480,"-731420550"
351709092560607,1744463983,417895050,"-731420480"
351709092560607,1744464011,417895220,"-731420980"
351709092560607,1744464390,417894510,"-731422010"
351709092560607,1744464419,417896040,"-731420650"
351709092560607,1744464775,417895120,"-731420580"
351709092560607,1744464801,417895780,"-731420330"
351709092560607,1744465166,417893700,"-731420220"
351709092560607,1744465190,417894180,"-731420660"
351709092560607,1744465545,417895380,"-731420030"
351709092560607,1744465573,417895180,"-731421400"
351709092560607,1744465956,417892290,"-731422230"
351709092560607,1744466310,417895309,"-731421300"
351709092560607,1744466333,417895130,"-731421550"
351709092560607,1744466716,417894250,"-731422110"
351709092560607,1744466741,417894540,"-731421639"
351709092560607,1744467096,417894210,"-731421020"
351709092560607,1744467123,417894570,"-731420260"
351709092560607,1744467481,417893680,"-731421510"
351709092560607,1744467510,417895290,"-731419930"
351709092560607,1744467772,417894770,"-731420009"
351709092560607,1744467798,417894210,"-731419710"
351709092560607,1744468162,417894370,"-731421520"
351709092560607,1744468184,417894660,"-731421890"
351709092560607,1744468447,417894940,"-731420780"
351709092560607,1744468474,417894330,"-731420500"
351709092560607,1744468798,417894660,"-731421290"
351709092560607,1744468823,417894800,"-731421310"
351709092560607,1744469208,417894500,"-731421320"
351709092560607,1744469226,417894570,"-731421290"
351709092560607,1744469613,417894790,"-731421050"
351709092560607,1744469633,417894590,"-731420540"
351709092560607,1744470014,417894710,"-731422060"
351709092560607,1744470039,417895880,"-731421710"
351709092560607,1744470422,417895700,"-731421630"
351709092560607,1744470448,417895740,"-731421790"
351709092560607,1744470825,417895820,"-731422200"
351709092560607,1744470852,417895550,"-731422130"
351709092560607,1744471152,417895340,"-731421390"
351709092560607,1744471180,417895400,"-731422310"
351709092560607,1744471558,417895759,"-731421040"
351709092560607,1744471586,417895670,"-731420760"
351709092560607,1744471909,417894820,"-731421930"
351709092560607,1744471932,417894510,"-731421710"
351709092560607,1744472258,417896180,"-731421760"
351709092560607,1744472286,417896230,"-731421230"
351709092560607,1744472608,417895390,"-731421120"
351709092560607,1744472635,417895180,"-731421359"
351709092560607,1744473015,417894500,"-731422429"
351709092560607,1744473042,417895139,"-731422110"
351709092560607,1744473400,417895430,"-731422250"
351709092560607,1744473426,417895510,"-731422440"
351709092560607,1744473807,417895309,"-731421720"
351709092560607,1744473831,417895449,"-731421900"
351709092560607,1744474158,417895020,"-731421979"
351709092560607,1744474188,417895240,"-731421079"
351709092560607,1744474512,417895160,"-731421490"
351709092560607,1744474537,417894830,"-731421180"
351709092560607,1744474828,417895470,"-731420800"
351709092560607,1744475175,417895040,"-731420870"
351709092560607,1744475201,417896360,"-731422930"
